query,page,clicks,impressions,ctr,position,priority_score,recommended_action
,https://wuwabanners.net/,12,2086,0.0058,11.8,184.91,rewrite title/meta and first answer
,https://wuwabanners.net/wuthering-waves-next-banner/,1,1143,0.0009,16.0,103.91,expand page answer and strengthen internal links
,https://wuwabanners.net/wuthering-waves-current-banner/,4,537,0.0074,18.1,40.87,expand page answer and strengthen internal links
,https://wuwabanners.net/banners/,3,470,0.0064,21.8,33.98,expand page answer and strengthen internal links
,https://wuwabanners.net/wuthering-waves-denia-team-comps/,3,175,0.0171,10.4,12.03,rewrite title/meta and first answer
,https://www.wuwabanners.net/,0,127,0.0000,14.8,12.03,expand page answer and strengthen internal links
,https://wuwabanners.net/wuthering-waves-hiyuki-build/,1,153,0.0065,24.0,10.50,expand page answer and strengthen internal links
,https://wuwabanners.net/pull-advice/,1,109,0.0092,10.9,9.09,rewrite title/meta and first answer
,https://wuwabanners.net/wuthering-waves-weapons/waltz-in-masquerade/,0,82,0.0000,7.3,8.82,rewrite title/meta and first answer
,https://www.wuwabanners.net/wuthering-waves-hiyuki-build/,0,79,0.0000,15.8,7.34,expand page answer and strengthen internal links
,https://wuwabanners.net/wuthering-waves-characters/mornye/,0,80,0.0000,24.4,6.25,expand page answer and strengthen internal links
,https://wuwabanners.net/wuthering-waves-should-you-pull-phrolova/,1,63,0.0159,7.1,4.74,rewrite title/meta and first answer
,http://wuwabanners.net/,0,31,0.0000,12.3,3.07,expand page answer and strengthen internal links
,https://wuwabanners.net/wuthering-waves-items/we-who-question/,0,26,0.0000,7.3,2.80,rewrite title/meta and first answer
,https://wuwabanners.net/wuthering-waves-items/,0,30,0.0000,51.2,1.80,check intent fit before expanding
,https://wuwabanners.net/wuthering-waves-characters/zhezhi/,0,14,0.0000,16.6,1.28,watch
,https://wuwabanners.net/wuthering-waves-iuno-build/,1,31,0.0323,13.3,1.14,expand page answer and strengthen internal links
,https://wuwabanners.net/wuthering-waves-items/stone-rose/,0,7,0.0000,11.3,0.70,watch
,https://wuwabanners.net/wuthering-waves-characters/chixia/,0,6,0.0000,9.2,0.63,watch
,https://wuwabanners.net/wuthering-waves-characters/rover-aero/,0,3,0.0000,21.3,0.25,watch
,https://wuwabanners.net/wuthering-waves-items/when-irises-bloom/,1,16,0.0625,7.8,-0.25,watch
