query,page,clicks,impressions,ctr,position,priority_score,recommended_action
,https://wuwabanners.net/,0,115,0.0000,21.3,9.60,expand page answer and strengthen internal links
,https://wuwabanners.net/wuthering-waves-banner-history/,2,124,0.0161,11.1,8.66,rewrite title/meta and first answer
,https://wuwabanners.net/guides/,0,33,0.0000,32.2,2.14,check intent fit before expanding
,https://wuwabanners.net/wuthering-waves-pity-system/,0,33,0.0000,34.1,2.03,check intent fit before expanding
,https://wuwabanners.net/wuthering-waves-characters/,0,32,0.0000,38.4,1.92,check intent fit before expanding
,https://wuwabanners.net/wuthering-waves-current-banner-end-date/,0,26,0.0000,27.3,1.90,expand page answer and strengthen internal links
,https://wuwabanners.net/banners/,0,30,0.0000,38.2,1.80,check intent fit before expanding
,https://wuwabanners.net/wuthering-waves-items/,0,24,0.0000,38.7,1.44,check intent fit before expanding
,https://wuwabanners.net/pull-advice/,0,19,0.0000,26.9,1.40,watch
,https://wuwabanners.net/wuthering-waves-weapons/,0,15,0.0000,21.6,1.24,watch
,https://wuwabanners.net/wuthering-waves-next-banner/,0,17,0.0000,42.7,1.02,watch
,https://wuwabanners.net/wuthering-waves-weekly-reset-time/,0,11,0.0000,22.7,0.89,watch
,https://wuwabanners.net/wuthering-waves-should-you-pull-phrolova/,0,8,0.0000,10.1,0.82,watch
,https://wuwabanners.net/wuthering-waves-current-banner/,0,9,0.0000,24.8,0.70,watch
,https://wuwabanners.net/wuthering-waves-next-character/,0,11,0.0000,37.7,0.66,watch
,https://wuwabanners.net/wuthering-waves-banner-order/,0,7,0.0000,23.6,0.56,watch
,https://wuwabanners.net/wuthering-waves-next-banner-countdown/,0,7,0.0000,32.3,0.45,watch
,https://wuwabanners.net/wuthering-waves-next-banner-date/,0,7,0.0000,44.9,0.42,watch
,https://wuwabanners.net/wuthering-waves-cartethyia-team-comps/,0,5,0.0000,21.2,0.42,watch
,https://wuwabanners.net/wuthering-waves-banner-history/version-3-4-phase-1/,0,4,0.0000,16.8,0.37,watch
,https://wuwabanners.net/wuthering-waves-characters/iuno/,0,3,0.0000,9.7,0.31,watch
,https://wuwabanners.net/wuthering-waves-lucy-materials/,0,3,0.0000,11.7,0.30,watch
,https://wuwabanners.net/wuthering-waves-current-banner-characters/,0,4,0.0000,30.5,0.27,watch
,https://wuwabanners.net/wuthering-waves-cartethyia-materials/,0,3,0.0000,24.3,0.23,watch
,https://wuwabanners.net/wuthering-waves-characters/phrolova/,0,3,0.0000,29.3,0.21,watch
,https://wuwabanners.net/wuthering-waves-characters/mornye/,0,2,0.0000,10.0,0.21,watch
,https://wuwabanners.net/wuthering-waves-characters/jinhsi/,0,3,0.0000,33.7,0.19,watch
,https://wuwabanners.net/wuthering-waves-items/adagio-helix/,0,2,0.0000,13.5,0.19,watch
,https://wuwabanners.net/wuthering-waves-lucilla-build/,0,2,0.0000,23.5,0.16,watch
,https://wuwabanners.net/wuthering-waves-characters/lumi/,0,2,0.0000,35.0,0.12,watch
,https://wuwabanners.net/wuthering-waves-phrolova-materials/,0,2,0.0000,47.0,0.12,watch
,https://wuwabanners.net/wuthering-waves-characters/carlotta/,0,1,0.0000,11.0,0.10,watch
,https://wuwabanners.net/wuthering-waves-characters/galbrena/,0,1,0.0000,11.0,0.10,watch
,https://wuwabanners.net/wuthering-waves-iuno-build/,0,1,0.0000,14.0,0.10,watch
,https://wuwabanners.net/wuthering-waves-should-you-pull-iuno/,0,1,0.0000,27.0,0.07,watch
,https://wuwabanners.net/wuthering-waves-lucilla-team-comps/,0,1,0.0000,29.0,0.07,watch
,https://wuwabanners.net/wuthering-waves-characters/phoebe/,0,1,0.0000,42.0,0.06,watch
,https://wuwabanners.net/wuthering-waves-characters/chixia/,0,1,0.0000,43.0,0.06,watch
,https://wuwabanners.net/wuthering-waves-characters/rebecca/,0,1,0.0000,46.0,0.06,watch
,https://wuwabanners.net/wuthering-waves-characters/verina/,0,1,0.0000,46.0,0.06,watch
,https://wuwabanners.net/wuthering-waves-banner-history/version-3-2-phase-2/,0,1,0.0000,48.0,0.06,watch
,https://wuwabanners.net/wuthering-waves-characters/encore/,0,1,0.0000,48.0,0.06,watch
